ID,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,High-Salary
606655,m,1990-11-21 00:00:00,83.6,state board,2008,69.83,state board,2665,2,B.Tech/B.E.,electronics & telecommunications,60,2665,0,Maharashtra,2013,380,580,470,0.2294817549,-1,266,-1,-1,-1,206,-1,0.1282,0.5454,-0.7585,-0.995,0.8637,0
431800,m,1990-10-23 00:00:00,60.8,cbse,2008,62.4,cbse,5232,2,B.Tech/B.E.,electronics and communication engineering,60,5232,0,Haryana,2012,495,425,645,0.538386893,385,333,-1,-1,-1,-1,-1,0.3555,0.0328,-0.598,-0.2902,-1.2354,0
1279958,m,1992-07-02 00:00:00,81.2,state board,2008,79.9,state board,64,2,B.Tech/B.E.,instrumentation and control engineering,67.67,64,0,Uttar Pradesh,2013,395,565,645,-1,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,1
536517,f,1990-01-17 00:00:00,69.54,icse,2008,64.43,isc,4501,2,B.Tech/B.E.,information technology,63,4501,0,Uttar Pradesh,2012,485,520,355,0.3084005829,355,-1,-1,-1,-1,-1,-1,1.7465,1.9048,0.672,-0.2902,1.2528,1
1087625,m,1992-06-10 00:00:00,85.8,cbse,2010,74.8,cbse,13473,2,B.Tech/B.E.,electronics and communication engineering,64.8,13473,0,Uttar Pradesh,2014,685,530,620,-1,515,-1,-1,-1,-1,-1,-1,1.1336,1.0449,0.7785,-0.6147,-0.8608,1
874596,m,1987-09-28 00:00:00,60.8,cbse,2006,66.66,cbse,41,2,MCA,computer application,74.74,41,1,Delhi,2013,465,585,515,0.9113952784,545,-1,500,-1,-1,-1,-1,0.8463,1.0449,-1.0659,-1.6289,0.6721,0
711342,m,1992-12-07 00:00:00,65,state board,2008,64.8,icse,184,2,B.Tech/B.E.,computer science & engineering,69.54,184,0,Uttar Pradesh,2013,465,495,515,0.5632678237,425,-1,-1,-1,-1,-1,-1,-0.159,0.3789,1.3933,-0.2344,1.4386,0
466888,f,1990-11-30 00:00:00,79,cbse,2008,62.2,cbse,7977,2,B.Tech/B.E.,computer engineering,76.3,7977,0,Uttar Pradesh,2012,485,445,435,0.8646854134,525,-1,-1,-1,-1,-1,-1,0.8192,0.2668,-0.2714,-0.4078,-0.1295,1
140069,f,1988-07-25 00:00:00,91.2,karnataka secondary school of examination,2006,84.63,karnataka pre university board,4437,2,B.Tech/B.E.,computer engineering,78.15,4437,0,Karnataka,2010,455,535,445,0.6359787565,445,-1,-1,-1,-1,-1,-1,-0.1082,0.9688,0.5269,-0.2902,0.3444,1
339689,f,1991-08-20 00:00:00,75.67,up,2007,74.4,up,11368,2,B.Tech/B.E.,information technology,74.01,11368,0,Uttar Pradesh,2012,385,555,445,0.6359787565,445,-1,-1,-1,-1,-1,-1,-1.0355,-0.5913,-1.3599,0.06223,-1.3539,0
995191,m,1992-01-23 00:00:00,92.5,state board,2009,95.2,state board,8232,2,B.Tech/B.E.,electronics and communication engineering,76,8232,0,Telangana,2013,395,455,485,-1,455,-1,-1,-1,-1,-1,-1,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,0
990077,m,1986-07-30 00:00:00,70,state board,2006,43.42,"p u board, karnataka",11388,2,B.Tech/B.E.,electronics and communication engineering,55.52,11388,1,Karnataka,2014,370,360,270,0.6493897148,-1,356,-1,-1,-1,-1,-1,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,0
963123,m,1993-06-28 00:00:00,88,state board,2010,90,state board,9173,2,B.Tech/B.E.,computer science & engineering,76,9173,1,Telangana,2014,625,555,630,0.3565364877,475,-1,346,-1,-1,-1,-1,0.4155,0.8027,0.1357,-0.995,-0.6692,1
350211,f,1991-03-02 00:00:00,86.8,cbse,2008,82.8,cbse,9019,2,B.Tech/B.E.,computer science & engineering,78,9019,0,Haryana,2012,575,585,575,0.744758354,565,-1,438,-1,-1,-1,-1,0.0464,1.2028,-0.9245,0.5323,-0.2875,1
65096,m,1988-02-05 00:00:00,90.88,karnataka state education examination board,2006,82.5,dept of pre-university education,124,2,B.Tech/B.E.,computer engineering,66.15,124,0,Orissa,2010,415,335,405,0.8841225116,535,333,-1,313,-1,-1,320,0.8192,0.1888,-1.7954,1.8249,1.1343,1
810458,m,1993-02-01 00:00:00,76.8,state board,2009,83,state board,64,2,B.Tech/B.E.,electronics and communication engineering,76.44,64,0,Uttar Pradesh,2014,535,510,605,0.8816200695,-1,420,-1,-1,-1,-1,-1,0.99,1.3779,0.7785,-0.2344,-0.6692,1
918981,m,1994-01-20 00:00:00,84,cbse,2011,68,cbse,76,2,B.Tech/B.E.,electronics and communication engineering,72,76,0,Uttar Pradesh,2015,580,570,385,0.2073921697,335,260,-1,-1,-1,313,-1,0.1282,0.7119,1.3933,-0.3612,-0.0943,0
472956,m,1992-06-11 00:00:00,64,cbse,2010,74,cbse,57,2,B.Tech/B.E.,information technology,68,57,0,Haryana,2014,485,375,435,0.4867470084,345,-1,376,-1,-1,-1,-1,-3.1994,-1.8393,0.0552,0.0623,-0.7615,0
192703,m,1989-10-04 00:00:00,84,ssc,2007,92,bie,5003,2,B.Tech/B.E.,computer engineering,77.2,5003,0,Andhra Pradesh,2011,475,405,695,0.6707431514,455,-1,-1,-1,-1,-1,-1,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,1
1094324,m,1992-10-23 00:00:00,77.2,state board,2010,86.1,state board,7282,2,B.Tech/B.E.,computer science & engineering,71,7282,0,Tamil Nadu,2014,560,485,450,0.6226429158,485,-1,407,-1,-1,-1,-1,-0.0154,1.2114,1.0859,-1.5021,0.2889,1
580616,f,1991-09-14 00:00:00,87,cbse,2009,84.4,cbse,8195,1,B.Tech/B.E.,computer engineering,79.3,8195,1,Delhi,2013,570,475,295,0.4138382558,385,-1,-1,-1,-1,-1,-1,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,1
1208010,m,1992-01-07 00:00:00,73,state board,2010,68.4,state board,8297,2,B.Tech/B.E.,information technology,74.3,8297,1,West Bengal,2014,560,530,605,0.9113952784,445,-1,500,-1,-1,-1,-1,-0.7335,0.5454,-0.7585,-0.6147,1.4386,0
1073190,f,1989-08-30 00:00:00,71,cbse,2009,68,icse,7869,2,B.Tech/B.E.,computer science & engineering,70.86,7869,0,Uttar Pradesh,2013,430,510,405,0.3565364877,465,-1,346,-1,-1,-1,-1,1.5644,1.0449,0.3174,-1.8824,1.0554,0
942679,f,1990-09-15 00:00:00,85,cbse,2008,61,cbse,272,2,B.Tech/B.E.,electronics and communication engineering,64.98,272,0,Punjab,2011,570,475,430,-1,-1,-1,-1,-1,-1,-1,-1,-0.4854,-0.5213,2.1129,-0.735,1.8224,1
602377,f,1992-08-21 00:00:00,91.5,state board,2009,93.8,state board,11509,1,B.Tech/B.E.,computer engineering,74.1,11509,1,Telangana,2013,380,535,530,0.5259225843,415,-1,-1,-1,-1,-1,-1,-1.0208,0.2124,0.4711,0.2727,-0.0943,0
922508,m,1993-02-13 00:00:00,77,cbse,2010,85.4,cbse,272,2,B.Tech/B.E.,electronics and communication engineering,63.9,272,0,Punjab,2014,475,605,415,0.6493897148,435,356,-1,-1,-1,-1,-1,0.2718,0.5454,0.3174,-1.8824,-0.4776,0
550371,m,1991-10-02 00:00:00,52.33,state board,2007,67,state board,44,2,MCA,computer application,77.15,44,0,Uttar Pradesh,2013,450,525,545,0.7357957092,475,-1,-1,-1,-1,-1,-1,-0.0154,1.2114,0.6248,0.7798,0.8637,1
533417,m,1991-02-28 00:00:00,88,kerala state technical education,2008,89.66,kerala state hse board,867,2,B.Tech/B.E.,electronics and communication engineering,76.4,867,0,Kerala,2012,510,640,635,0.124502074,-1,233,-1,-1,-1,-1,-1,0.3941,1.2808,0.2366,-2.1998,-0.4455,0
245887,m,1989-05-04 00:00:00,66.6,cbse,2007,68.6,up board,105,2,B.Tech/B.E.,mechanical engineering,60.22,105,0,Uttar Pradesh,2011,425,595,475,0.1304417357,-1,-1,-1,286,-1,-1,-1,-0.4173,0.3448,0.0914,-0.4078,0.6603,0
955678,m,1992-04-21 00:00:00,75,cbse,2009,60,cbse,105,2,B.Tech/B.E.,computer science & engineering,66,105,0,Uttar Pradesh,2014,380,545,460,0.3565364877,395,-1,346,-1,-1,-1,-1,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,0
895673,m,1991-12-11 00:00:00,91.4,icse,2010,73,cbse,119,1,B.Tech/B.E.,information technology,71,119,0,Uttar Pradesh,2014,555,560,825,0.2378028398,525,-1,315,-1,-1,-1,-1,-0.0154,0.2578,-0.5349,-1.1218,-1.359,1
1207660,m,1993-07-05 00:00:00,59,state board,2010,87.7,state board,16150,2,B.Tech/B.E.,electronics and communication engineering,71.04,16150,1,Telangana,2014,300,340,355,0.1121394382,155,228,-1,-1,-1,-1,-1,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,0
247617,f,1989-01-06 00:00:00,84.5,0,2007,82.5,0,3461,2,B.Tech/B.E.,computer engineering,92.1,3461,0,Karnataka,2011,425,525,515,0.3775514194,375,-1,-1,-1,-1,-1,-1,0.51,0.6568,-0.6343,0.2973,0.1864,1
1230582,m,1992-10-12 00:00:00,95.8,state board,2010,87.16,state board,482,2,B.Tech/B.E.,mechanical engineering,79,482,0,Tamil Nadu,2014,430,395,500,0.0669607065,-1,-1,-1,253,-1,-1,-1,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,0
592833,f,1991-09-24 00:00:00,85.6,cbse,2008,82,cbse,13094,2,B.Tech/B.E.,computer science & engineering,74.01,13094,0,Haryana,2012,370,495,455,0.08005528134,445,-1,253,-1,-1,-1,-1,0.1282,0.5454,0.1637,-0.4879,0.8637,0
434621,m,1992-02-01 00:00:00,69.6,bseb,2008,71.4,bseb,3054,2,B.Tech/B.E.,computer engineering,77,3054,0,Orissa,2012,485,415,575,0.9256457671,-1,-1,-1,-1,-1,-1,-1,-0.4173,0.6568,-0.7794,1.7074,0.1864,0
338428,m,1991-02-28 00:00:00,86.6,cbse,2009,75,cbse,11637,2,B.Tech/B.E.,computer science & engineering,74,11637,0,Madhya Pradesh,2013,505,545,565,0.3565364877,475,-1,346,-1,-1,-1,-1,-2.5039,0.0328,0.3817,0.26793,0.5024,1
305559,m,1989-03-27 00:00:00,81.92,state board,2007,61.46,state board,1109,2,B.Tech/B.E.,information technology,57.54,1109,1,Karnataka,2011,565,465,415,0.8431237267,515,-1,-1,-1,-1,-1,-1,1.2828,1.7488,1.8331,-2.2879,1.1343,0
245337,f,1988-02-13 00:00:00,66.5,cbse,2005,49.5,chse,889,2,MCA,computer application,89.7,889,0,Orissa,2011,505,505,485,0.9168699611,555,-1,-1,-1,-1,-1,-1,-1.0355,0.0328,-2.2308,1.0024,0.3444,0
852310,m,1991-11-03 00:00:00,80,state board,2009,72.5,state board,12867,2,B.Tech/B.E.,electronics and computer engineering,57.8,12867,0,Andhra Pradesh,2013,580,485,455,0.7833035367,405,388,-1,-1,-1,-1,-1,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,0
794209,m,1992-03-09 00:00:00,85.2,icse,2010,81.5,icse,8350,2,B.Tech/B.E.,computer science & engineering,57.64,8350,0,Uttar Pradesh,2014,545,385,485,0.6000571823,435,-1,-1,-1,-1,-1,-1,1.1336,0.3789,1.0859,0.653,0.2889,1
1082717,m,1991-08-06 00:00:00,89.25,state board,2010,78,state board,2066,2,B.Tech/B.E.,electrical engineering,80,2066,1,West Bengal,2014,570,510,545,0.7929362776,-1,-1,-1,-1,484,-1,-1,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,1
764522,f,1992-01-14 00:00:00,58.4,cbse,2008,64.8,cbse,85,2,MCA,computer application,80,85,0,Haryana,2014,440,415,554,0.7935806145,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543,0
989860,m,1992-02-13 00:00:00,90.8,state board,2010,90.1,state board,12832,2,B.Tech/B.E.,computer science & engineering,67.7,12832,0,Karnataka,2014,525,530,595,0.4867470084,485,-1,376,-1,-1,-1,-1,-0.3027,0.7119,-0.2974,1.1601,-0.4776,0
416752,f,1989-07-15 00:00:00,78,cbse,2006,70.1,cbse,166,2,B.Tech/B.E.,electronics and communication engineering,68.2,166,0,Haryana,2011,415,595,495,0.6944793277,-1,366,-1,-1,-1,-1,-1,0.8192,-0.0842,-0.598,-0.6428,-0.6035,0
294700,f,1989-08-15 00:00:00,89.88,0,2007,95.4,0,1027,2,B.Tech/B.E.,electronics and communication engineering,80.8,1027,1,Telangana,2011,555,475,635,0.6944793277,-1,366,-1,-1,-1,420,-1,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,1
1063642,m,1990-03-27 00:00:00,63.3,state board,2008,61.1,state board,11386,2,B.Tech/B.E.,electronics and communication engineering,66.9,11386,0,Uttar Pradesh,2013,420,510,665,0.1121394382,-1,228,-1,-1,-1,-1,-1,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,0
536053,m,1977-10-30 00:00:00,72,cbse,1995,49,puc,712,2,B.Tech/B.E.,computer engineering,55,712,0,Karnataka,2011,640,460,250,0.5259225843,415,300,-1,366,-1,-1,400,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,0
652717,f,1991-12-27 00:00:00,83,state board,2009,79,state board,9173,2,B.Tech/B.E.,information technology,70,9173,1,Telangana,2013,430,410,310,0.1656330915,305,-1,-1,-1,-1,-1,-1,-0.159,-0.1206,0.1637,1.5404,-0.0943,1
940402,m,1993-06-30 00:00:00,85.3,state board,2010,88.3,state board,434,2,B.Tech/B.E.,computer science & engineering,85,434,1,Tamil Nadu,2014,370,375,325,0.3565364877,315,-1,346,-1,-1,-1,-1,1.8517,1.5444,0.3174,0.3995,0.6721,1
1218578,f,1991-03-02 00:00:00,81,cbse,2009,77.8,cbse,11942,2,B.Tech/B.E.,electronics and communication engineering,65.35,11942,0,Uttar Pradesh,2014,535,510,390,0.2073921697,-1,260,-1,-1,-1,260,-1,-1.1644,-0.9531,0.01,-0.7415,-0.8608,0
636871,m,1992-01-10 00:00:00,60.66,up,2008,62.4, upboard,9738,2,B.Tech/B.E.,mechanical engineering,69.3,9738,0,Uttar Pradesh,2013,370,410,470,0.7553751209,315,-1,-1,446,-1,-1,-1,-2.2351,-2.6847,-2.6028,0.3995,-5.477,0
31330,m,1986-05-29 00:00:00,78,cbse,2004,83,cbse,2,1,B.Tech/B.E.,information technology,72.13,2,1,Delhi,2010,444,555,695,0.9999045583,804,-1,-1,-1,-1,-1,-1,0.6646,0.3448,0.8171,0.6498,0.0284,1
1044453,m,1990-12-02 00:00:00,89.37,state board,2009,79,state board,2085,2,B.Tech/B.E.,applied electronics and instrumentation,70,2085,0,West Bengal,2013,630,580,510,0.3387863472,-1,292,-1,-1,-1,-1,-1,0.99,1.2114,-0.2974,-1.1218,1.247,1
125529,m,1989-08-29 00:00:00,90,"state board of secondary education, andhra pradesh",2006,94.4,"state  board of intermediate education, andhra pradesh",1396,2,B.Tech/B.E.,electronics and communication engineering,76.12,1396,0,Andhra Pradesh,2010,505,525,595,0.124502074,615,233,-1,-1,-1,-1,-1,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,1
810433,f,1991-08-05 00:00:00,81,icse,2010,79,icse,64,2,B.Tech/B.E.,electronics and communication engineering,71.5,64,0,Uttar Pradesh,2014,510,500,575,0.4935963873,455,324,-1,-1,-1,-1,-1,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,1
86373,f,1989-03-18 00:00:00,78,matriculation,2006,86.67,state board,4173,2,B.Tech/B.E.,instrumentation and control engineering,77.55,4173,1,Tamil Nadu,2010,535,465,535,0.9107701642,445,433,-1,-1,-1,-1,-1,-0.881,1.4368,0.3817,-0.4078,-0.1295,0
1237891,m,1993-01-15 00:00:00,84.4,cbse,2011,73.2,cbse,272,2,B.Tech/B.E.,computer science & engineering,70,272,0,Punjab,2015,570,410,535,0.6707431514,455,-1,-1,-1,-1,-1,-1,-0.0154,0.8784,0.01,-0.7415,-0.2859,0
801755,m,1992-12-12 00:00:00,89,state board,2009,92,state board,14382,2,B.Tech/B.E.,electrical engineering,76.4,14382,1,Telangana,2013,625,645,605,0.9820571243,385,388,-1,-1,606,-1,-1,-1.4517,-1.4526,-1.2196,1.794,-2.3937,1
1089599,m,1990-12-03 00:00:00,86,gujarat state board,2008,64,state board,9564,2,B.Tech/B.E.,information technology,61.17,9564,0,Gujarat,2013,665,545,415,0.9113952784,405,-1,500,-1,-1,-1,-1,1.1336,1.3779,2.1617,-0.995,1.0554,0
1230478,m,1992-12-21 00:00:00,85,icse,2010,75,cbse,319,2,B.Tech/B.E.,computer science & engineering,60,319,1,Karnataka,2014,675,480,500,0.8422483223,425,-1,469,-1,-1,-1,-1,1.1336,1.0449,0.1637,-1.2486,0.0973,0
982400,m,1992-07-06 00:00:00,75,cbse,2009,64,cbse,184,2,B.Tech/B.E.,computer science & engineering,67,184,0,Uttar Pradesh,2014,510,480,485,-1,-1,-1,-1,-1,-1,-1,-1,-0.159,0.8784,1.2396,0.2727,-0.6692,0
1225896,f,1991-08-10 00:00:00,86,state board,2009,77,state board,4973,2,B.Tech/B.E.,computer science & engineering,75,4973,0,Madhya Pradesh,2013,325,510,295,0.01854094168,415,-1,192,-1,-1,-1,-1,0.1282,0.0459,0.1637,0.0192,-0.0943,0
1067148,m,1992-09-03 00:00:00,70.6,cbse,2010,78.67,state board,182,2,B.Tech/B.E.,electronics and communication engineering,75.84,182,1,Karnataka,2014,580,485,510,0.05316030528,285,196,-1,-1,-1,-1,-1,0.5591,0.2124,-1.2196,-0.7415,-0.8608,1
361583,m,1991-01-25 00:00:00,93.44,karnataka state board,2008,90,karnataka state board,1384,2,B.Tech/B.E.,computer engineering,87.6,1384,0,Karnataka,2012,515,475,635,0.9421165515,575,-1,-1,-1,-1,-1,-1,-0.4173,0.9688,-0.1988,-0.2902,0.3049,1
754392,m,1992-02-18 00:00:00,76,state board,2009,72,state board,8888,2,B.Tech/B.E.,computer science & engineering,63.2,8888,0,Tamil Nadu,2013,510,355,340,0.1230167316,285,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,0.4711,0.2727,-0.4776,0
1168608,f,1993-05-05 00:00:00,86.4,cbse,2010,78.2,cbse,6982,2,B.Tech/B.E.,electronics and communication engineering,73.5,6982,1,Karnataka,2014,535,435,440,0.2073921697,355,260,530,-1,-1,-1,-1,0.8463,1.3779,1.3933,0.653,-0.2859,1
1089852,f,1992-05-17 00:00:00,86,state board,2009,95,state board,4726,2,B.Tech/B.E.,electronics and communication engineering,78.6,4726,0,Telangana,2013,405,545,450,0.6493897148,375,356,-1,-1,-1,-1,-1,0.5591,-0.4536,0.01,-0.4879,0.6721,0
1098869,m,1992-09-26 00:00:00,84.83,cbse,2010,82.4,cbse,903,2,B.Tech/B.E.,computer science & engineering,74.14,903,0,Uttar Pradesh,2014,665,595,705,0.744758354,505,-1,438,-1,-1,-1,-1,-0.4463,0.2124,0.3174,-1.5021,-0.2859,1
661546,m,1990-07-05 00:00:00,72.3,icse,2008,60.2,cbse,8546,2,B.Tech/B.E.,electronics and communication engineering,69.38,8546,1,Rajasthan,2013,555,475,415,0.6944793277,-1,366,-1,-1,-1,393,-1,1.4208,0.5454,-0.2974,1.0333,-0.6692,0
87067,f,1987-03-15 00:00:00,69,cbse,2005,62.6,cbse,5605,2,B.Tech/B.E.,electrical engineering,76.25,5605,0,Madhya Pradesh,2010,395,455,475,0.6944793277,195,366,-1,-1,-1,-1,-1,-0.4173,0.1888,-0.4891,0.4148,0.8183,0
836060,m,1993-11-23 00:00:00,80,state board,2010,70,state board,9699,2,B.Tech/B.E.,electronics and communication engineering,55,9699,1,Rajasthan,2014,430,450,385,-1,-1,-1,-1,-1,-1,-1,-1,0.1282,-0.1206,0.9322,1.5404,0.0973,0
58674,f,1987-05-10 00:00:00,73.33,0,2004,71.33,0,331,2,MCA,computer application,61,331,1,Maharashtra,2010,375,535,534,0.6000571823,435,-1,-1,-1,-1,-1,-1,-2.272,-0.2793,-1.2148,0.8848,-0.7615,1
1255801,m,1993-08-18 00:00:00,86.16,cbse,2011,70.08,cbse,7376,2,B.Tech/B.E.,electronics and communication engineering,63.13,7376,0,Uttar Pradesh,2015,455,595,500,0.2073921697,225,260,-1,-1,-1,-1,-1,0.99,1.0449,1.7007,-2.0092,0.2889,1
662008,f,1987-11-13 00:00:00,75,state board,2010,78,west bengal state council of technical education,12992,2,B.Tech/B.E.,computer engineering,71.1,12992,1,West Bengal,2013,415,440,355,0.4883479768,405,-1,-1,-1,-1,-1,-1,0.8463,1.3779,1.0859,-0.995,1.247,0
1245234,m,1992-05-01 00:00:00,56,cbse,2009,56,state board,51,2,MCA,computer application,62,51,0,Uttar Pradesh,2015,605,470,355,0.8431237267,515,-1,-1,-1,-1,-1,-1,0.7027,0.8784,0.3174,-1.1218,0.4805,0
1259641,f,1992-02-21 00:00:00,87,cbse,2008,60,cbse,973,2,B.Tech/B.E.,computer science & engineering,70.82,973,0,Uttar Pradesh,2013,640,605,400,0.8422483223,425,-1,469,-1,-1,-1,-1,0.8463,1.2114,1.2396,-0.1076,1.247,0
525290,m,1991-01-01 00:00:00,79.25,wbbse,2008,80,wbchse,6814,2,B.Tech/B.E.,information technology,79.9,6814,0,West Bengal,2012,545,580,430,0.6359787565,445,-1,-1,-1,-1,-1,-1,0.8192,1.0858,-0.4891,-0.7603,-0.1295,1
324269,m,1991-05-31 00:00:00,88.66,maharashtra state board,2008,84.33,maharashtra state board,7236,2,B.Tech/B.E.,electronics & telecommunications,60,7236,1,Maharashtra,2012,495,565,575,0.3760595867,335,300,-1,-1,-1,260,-1,1.2828,1.7878,1.1437,-0.6428,0.5024,0
1151485,m,1991-06-03 00:00:00,80.8,state board,2009,75,state board,6836,2,B.Tech/B.E.,electronics and communication engineering,77.38,6836,1,Karnataka,2013,405,470,370,-1,475,-1,500,-1,-1,-1,-1,1.4208,-0.7866,-0.1437,-1.5021,-0.4776,0
1250429,m,1992-01-04 00:00:00,79,state board,2009,87.9,state board,9557,2,B.Tech/B.E.,computer science & engineering,66,9557,1,Telangana,2013,315,435,355,0.3565364877,335,-1,346,-1,-1,-1,-1,0.4155,0.5454,0.9322,-0.6147,0.8637,1
1274522,m,1992-03-31 00:00:00,70,icse,2010,65,cbse,1139,2,B.Tech/B.E.,information technology,66,1139,0,Chhattisgarh,2014,405,470,545,-1,-1,-1,-1,-1,-1,-1,-1,0.4155,0.3789,-0.9122,-1.1218,-0.8608,1
843467,m,1990-08-16 00:00:00,81.16,icse,2008,68.5,icse,1087,2,B.Tech/B.E.,applied electronics and instrumentation,61.5,1087,0,Orissa,2013,605,520,325,0.3387863472,455,292,-1,-1,-1,-1,-1,1.4208,1.2114,0.6248,-0.995,-0.2859,0
318391,f,1990-08-10 00:00:00,83.5,ssc,2008,94.2,ssc,5071,2,B.Tech/B.E.,information technology,88.2,5071,0,Andhra Pradesh,2012,515,475,445,0.6707431514,455,-1,-1,-1,-1,-1,-1,0.6646,1.4368,-0.0537,0.88483,0.5024,1
60260,m,1988-03-25 00:00:00,65,icse board,2006,66,isc board,501,2,B.Tech/B.E.,information technology,64,501,0,Uttar Pradesh,2010,515,565,554,0.6000571823,435,-1,-1,-1,-1,-1,-1,-0.7264,0.1888,-1.2148,-0.5253,1.1343,1
1026621,f,1992-04-30 00:00:00,88,state board,2010,88,state board,9282,2,B.Tech/B.E.,computer science & engineering,70.12,9282,0,Andhra Pradesh,2014,710,605,605,0.744758354,405,-1,438,-1,-1,-1,-1,0.5591,1.2114,1.8543,0.1459,0.0973,1
